Card   1: 34 50 18 44 19 35 47 62 65 26 | 63  6 27 15 60  9 98  3 61 89 31 43 80 37 54 49 92 55  8  7 10 16 52 33 45
Card   2: 90 12 98 56 22 99 73 46  1 28 | 52 77 32  8 81 41 53 22 28 46 48 27 98  1 94 12 99 72 84 90 92 73 24 63 56
Card   3: 48 10 39 87 23 78 49 40 55  8 | 48 80 78 87 39 24 27 19 41 73 30 52 10  2 67 40 88 53 59 84 55 49  5 33 82
Card   4: 21 45 91 26 64 51 42 84 11 94 | 55 56 36 65 84  2 68 44 52 58 86  6 33  7 97 40 30 14 39 80 82 57 79  1 10
Card   5: 33  6 67 89 64 31 85 11  2 15 |  6 70 29 89 12 11 64 80  7 82 46 16 33 68 48 72 31  2 99 15 67 57  4 49 85
Card   6: 51 20 11 66 38 39 69 48 25 74 | 39 74  3 86 19 25 21 55  2 38 46 60 66 82 51 11 98 88  8 48 49 94 20 69 72
Card   7:  4 50 82 51 52 77 12 11 57 42 | 56 11 73 69 42 82 32 77 52 98 12 51 36 94 46  4 50 39 85 90 93 70 18 71 57
Card   8: 96 31 27 93  7  8  6 23 15 72 | 55 79 86  4  6 35 12 27 95 29 73 81 87 43  7 13 62 15 72 71 58 48 63 94 89
Card   9: 16 90 79 29 93 31 40 24 82 88 | 86 16 73 20 22 93 83 39 36 90 79 72 40 29 35 97 88 12  8 24 31 82 21 59 95
Card  10: 17 36 50 39 96 43 41 38 55  8 | 39 93 38 96 56 27  4 72 17 87 99 78 75 11 55 41 43 68 64 28 50 40  8 36 97
Card  11: 76 96 78 64 80 28 11 24 93 97 | 66 34 64 35 97 47 54 13 79 11 67 24 36 28 17 30 82 93 21 49  4 86 76 12  8
Card  12: 16 73 39 24 54 90 89 55 11 25 | 17 92  1 61 86  2 25  7 50 55 88 74 64 83 24 48 39 84 54 32 58 34 89 28 99
Card  13: 66 99 94 51 17 67 73 32 76 86 | 97 61 50 64 57 41 39 89 60 13 43 72 44 83 84 18 87 20 92 48 75  8 82 36 53
Card  14:  3 56 26 47 68 66 22 20 27 77 | 75 22 63 26 55 66  3 73 47 90 44 64 76  4 92 19 91 62 51 77 58 17  2 40 52
Card  15: 91  1 44  6 51 43 61  5 12 31 | 49 97 10 78 87 95 36 56 96 46  4 14 43 54 94 81 41 67 91 11 83 38 93 22 86
Card  16: 61 46 35 13 79 38 80  3 95 87 | 80 98 46 74 28 26 84 73 75 57 52 91 40 44  2 51 95 77  3 96 35 67 41 55 79
Card  17: 50 89 17 18 60 81 37 29  3 52 | 13 19 83 98 77 25 97 52 10 35 94 99 50  6 27 84 41 11 33 34 20  4 54 89 56
Card  18: 57  1 68  3 86 40 15  2 38 41 | 88 96 18 25 16 15 12 47 37 27 39 48 32 43 33 82 60 13 57 53 40 61 26 99  5
Card  19: 30 48  3 82 23 91 41 63 99 16 | 78  6 46 54 22 85  7 49 59 53 68 12 70 97 77 92 56 41 83  5 75 37 58 61 28
Card  20: 28  5 15 55 66 24 25 93  6 22 | 94 68  4  2 98 37 76 71 78 21 47 67 97 51 99  3 57 89 95 30 26 60 12  9 11
Card  21: 90 98 42 76 23 83  8 29  5 50 | 93 13 90 19 25 61 97 39 99 73 40 38  6 72 65 43 91 20 33 86 55 62 47  1 84
Card  22: 14 49 50  4  1 13 65 30 10 51 | 26 40 32 73 16 93 94 22 59 76 89 27 33 44 87 42 74  3 71 47 67  6 12 43 57
Card  23: 29 57 10 79 78 30 86 69 32 72 | 26  8 96 78 51 90 86 19  3 10 57 29 22 72 35 28 97 34 69 38 79 33 93 32 30
Card  24: 99 66 67 60 23 90 73  1 29 77 | 79 80 74 63 27 68 12 81 19 91 28 56 71 38 24 35 18  4 87 13 62  3 34 44 14
Card  25: 87  8 39 28  6 89 34 17 51 25 | 50 37 16 36 90 60 28 17 84 70 32 22 64 61  6 34 24 56 99 89 40 77 47 68 87
Card  26: 42 82 14 23 59  8 62 53 37  2 | 62  8 14 85 76 53 21 60 79  1 90 19 78 82 42 17 11 49 87 13 59 37 81  2 23
Card  27: 75 95 56 30 17 58 61 11 39 93 | 68 73 94  9 11 86 80 22 61 50 75 62 36 98 17 39 89 93 34 56 30 78 95 58 96
